PITCHERS,Team,G,GS,IP,W,L,SV,H,BB,K,ER,ERA,WHIP
"Strickland,  Scott",FLA,3,0,2.0,0,0,0,5,1,0,2,9.000,3.000
"Strop,  Pedro",TEX,15,0,10.7,0,0,0,17,11,11,12,10.125,2.625
"Suppan,  Jeff",STL,30,15,101.3,3,8,0,130,37,51,57,5.063,1.648
"Sweeney,  Brian",FA,24,0,37.0,1,2,0,33,6,14,13,3.162,1.054
"Takahashi,  Hisanori",NYM,53,12,122.0,10,6,8,116,43,114,49,3.615,1.303
"Talbot,  Mitch",CLE,28,28,159.3,10,13,0,169,69,88,78,4.406,1.494
"Tallet,  Brian",TOR,34,5,77.3,2,6,0,84,38,53,55,6.401,1.578
"Tankersley,  Taylor",FLA,27,0,12.0,0,0,0,12,7,7,10,7.500,1.583
"Taschner,  Jack",LAD,20,0,19.7,1,0,0,23,11,17,14,6.407,1.729
"Tejeda,  Robinson",KC,54,0,61.0,3,5,0,55,26,56,24,3.541,1.328
